id;name;description
F9C07FCD-2EA3-4DED-90C8-970FF6630E01;Science-Fiction;"Livres traitant de futures technologies, extraterrestres, et voyages spatiaux."
F9C07FCD-2EA3-4DED-90C8-970FF6630E02;Fantasy;"Livres avec des éléments magiques ou surnaturels, souvent dans un monde imaginaire."
F9C07FCD-2EA3-4DED-90C8-970FF6630E03;Thriller;"Livres caractérisés par des intrigues palpitantes et des rebondissements."
F9C07FCD-2EA3-4DED-90C8-970FF6630E04;Romance;"Livres centrés sur les relations amoureuses et les histoires d'amour."
F9C07FCD-2EA3-4DED-90C8-970FF6630E05;Mystery;"Livres qui impliquent des enquêtes et des résolutions de mystères."
F9C07FCD-2EA3-4DED-90C8-970FF6630E06;Biographie;"Livres racontant la vie réelle de personnes célèbres ou influentes."
F9C07FCD-2EA3-4DED-90C8-970FF6630E07;Historical;"Livres situés dans un contexte historique, souvent avec des événements réels."
F9C07FCD-2EA3-4DED-90C8-970FF6630E08;Horror;"Livres conçus pour provoquer la peur et l'angoisse."
F9C07FCD-2EA3-4DED-90C8-970FF6630E09;Science; "Livres traitant de la science et des découvertes scientifiques."
F9C07FCD-2EA3-4DED-90C8-970FF6630E10;Self-Help;"Livres destinés à aider les gens à améliorer leur vie personnelle et professionnelle."
F9C07FCD-2EA3-4DED-90C8-970FF6630E11;Cookbook;"Livres contenant des recettes de cuisine et des conseils culinaires."
F9C07FCD-2EA3-4DED-90C8-970FF6630E12;Travel;"Livres sur les voyages, les destinations touristiques, et les expériences culturelles."
F9C07FCD-2EA3-4DED-90C8-970FF6630E13;Young Adult;"Livres destinés aux adolescents et jeunes adultes, souvent avec des thèmes contemporains."
F9C07FCD-2EA3-4DED-90C8-970FF6630E14;Classic;"Livres considérés comme des classiques de la littérature, souvent enseignés dans les écoles."
F9C07FCD-2EA3-4DED-90C8-970FF6630E15;Graphic Novel;"Bandes dessinées ou romans graphiques qui racontent une histoire à travers des illustrations."
F9C07FCD-2EA3-4DED-90C8-970FF6630E16;Non-Fiction;"Livres basés sur des faits réels, des essais, et des études."
F9C07FCD-2EA3-4DED-90C8-970FF6630E17;Drama;"Livres centrés sur des événements émotionnels et des conflits humains."
F9C07FCD-2EA3-4DED-90C8-970FF6630E18;Poetry;"Livres de poésie, avec des vers et des expressions poétiques."
F9C07FCD-2EA3-4DED-90C8-970FF6630E19;Adventure;"Livres d'aventures avec des explorations, des quêtes, et des péripéties."
F9C07FCD-2EA3-4DED-90C8-970FF6630E20;Manga;"Bandes dessinées japonaises souvent publiées en série."
F9C07FCD-2EA3-4DED-90C8-970FF6630E21;Children;"Livres destinés aux enfants, souvent illustrés."
F9C07FCD-2EA3-4DED-90C8-970FF6630E22;Memoir;"Livres relatant des souvenirs personnels de l'auteur."
F9C07FCD-2EA3-4DED-90C8-970FF6630E23;Adult Fiction;"Fiction destinée à un public adulte, souvent avec des thèmes matures."
F9C07FCD-2EA3-4DED-90C8-970FF6630E24;Erotica;"Livres contenant des éléments sexuels explicites et des thèmes pour adultes."
F9C07FCD-2EA3-4DED-90C8-970FF6630E25;Biography;"Livres sur la vie de personnalités célèbres, des biographies."
F9C07FCD-2EA3-4DED-90C8-970FF6630E26;Historical Fiction;"Fiction située dans des contextes historiques réels."
F9C07FCD-2EA3-4DED-90C8-970FF6630E27;Autobiography;"Livres écrits par les auteurs eux-mêmes sur leur propre vie."
F9C07FCD-2EA3-4DED-90C8-970FF6630E28;Literary Fiction;"Fiction qui met l'accent sur le style, les thèmes, et le développement des personnages."
F9C07FCD-2EA3-4DED-90C8-970FF6630E29;Religious;"Livres traitant des religions, des croyances spirituelles et des pratiques religieuses."
F9C07FCD-2EA3-4DED-90C8-970FF6630E30;Science Fiction/Fantasy;"Combinaison de science-fiction et de fantasy dans une même œuvre."
F9C07FCD-2EA3-4DED-90C8-970FF6630E31;Graphic Novel/Manga;"Bandes dessinées japonaises ou graphiques souvent avec des histoires plus longues."
F9C07FCD-2EA3-4DED-90C8-970FF6630E32;Young Adult Fiction;"Fiction destinée aux adolescents mais avec des thèmes plus complexes."
F9C07FCD-2EA3-4DED-90C8-970FF6630E33;Classic Fiction;"Classiques de la littérature souvent enseignés dans les écoles."
F9C07FCD-2EA3-4DED-90C8-970FF6630E34;Poetry Collection;"Recueils de poésie par divers poètes."
F9C07FCD-2EA3-4DED-90C8-970FF6630E35;Mythology;"Livres traitant de mythes et légendes de différentes cultures."
F9C07FCD-2EA3-4DED-90C8-970FF6630E36;Children's Classic;"Classiques de la littérature pour enfants."
